"id","political_party","tweet","nrc_lexicon","robertuito_transformer","gemini_llm"
"1344728786059874304","ciudadanos","🍊 2020 ha sido un año muy duro, pero Cs ha estado al lado de los españoles: ✅ Pactos para la reconstrucción. ✅ Apoyo a autónomos y pymes. ✅ Prórrogas de los ERTE. ✅ Evitamos subidas de impuestos.  💪Nuestro compromiso es seguir haciendo #PolíticaÚtil  🧡 ¡Feliz 2021 a todos!  https://t.co/4KnJws8ycn","positive","neutral","positive"
"1344681722357678089","ciudadanos","😉 ¡No te pierdas el último episodio del año del #VlogDeMel!   👉 @MelisaRguezH responde a todas vuestras preguntas enviadas durante las Navidades.  🧡 ""Les deseo un 2021 lleno de esperanza y salud"".  📽️  https://t.co/ZKenBFNBoC  https://t.co/Inw3PRp71M","positive","neutral","positive"
"1344660080894029824","ciudadanos","🤝 Hoy decimos #Adiós2020, un año duro que nos ha mostrado la importancia de estar todos juntos.   🍊Por eso, pese a que algunos quieran separarnos, en 2021 vamos a estar más unidos que nunca. TODOS 🧡  ¡Feliz 2021! 🌟  https://t.co/bKHNXeUgiZ","positive","neutral","positive"
"1344632649055289344","ciudadanos","🍊🪁🧸 Hoy @CsarZafra se ha trasladado hasta Móstoles para entregar al comedor social San Simón de Rojas los juguetes recogidos en las carpas solidarias de Cs.    📡 Después ha atendido a los medios, ¡ te dejamos un resumen!  https://t.co/pbYkRPSMqp","positive","neutral","neutral"
"1344587856598208522","ciudadanos","🍊Cs apoyará los Presupuestos de comunidades y ciudades muy importantes de España.     👉 Será a cambio de ayudas a autónomos y pymes, más inversión en sanidad y moderación fiscal.  ✅ Esto es ser responsables y hacer #PolíticaÚtil  📽 ¡Lo cuenta @InesArrimadas!  https://t.co/ua5tcY8SnH","positive","neutral","positive"
"1344565097176457216","ciudadanos","🍊 Cs ha sido un soplo de aire fresco en la política española.   📺 @Carrizosacarlos ""Nuestro proyecto lo forman perfiles renovadores que vienen de la sociedad civil"" en @elprogramadear   ✅ Somos el único partido que defiende sin complejos al constitucionalismo en Cataluña.  https://t.co/eBPxNNLOJP","positive","neutral","positive"
"1344564721370935296","ciudadanos","👉 Para que un país escape de los extremismos tiene que haber un espacio de centro.   📺 @carrizosacarlos ""Cs es un partido de centro, y eso significa moderación y sensatez"" en el @elprogramadear    🍊 Nuestro proyecto se basa en poner por encima de todo a los ciudadanos.  https://t.co/ekR6XnJZ5J","positive","neutral","positive"
"1344553003500646400","ciudadanos","⛅️ ¡Buenos días y #FelizJueves!   📺 Comienza la mañana con @Carrizosacarlos en el @elprogramadear de @telecincoes   Síguelo #EnDirecto aquí para no perderte nada 🔛  https://t.co/gIQMfYXC6R  https://t.co/FjuOllUR9O","negative","neutral","neutral"
"1344328647101075457","ciudadanos","👉 2020 ha sido un año muy difícil.  ⚫ Nunca olvidaremos a los fallecidos por esta horrible pandemia.  🧡 Tampoco dejaremos de agradecer el trabajo de esos héroes que han estado en primera línea de batalla cuidando de nosotros.  📽 @begonavillacis    https://t.co/LWQgKsEhk0","negative","negative","neutral"
"1344298199956287491","ciudadanos","🍊 Cs siempre demuestra estar a la altura de los españoles y ser un partido coherente.   👉 Para nosotros el interés general siempre estará por encima de todo.   ▶   https://t.co/0FVjYznsGe  https://t.co/RvlEMGlTd6","positive","neutral","positive"
"1344262131538124801","ciudadanos","‼️ El ministro de Sanidad pensando en ser candidato en plena pandemia...  📡 @CarrizosaCarlos ""Esto nos aclara las intenciones del PSOE"" #ActualidadCs  ❌ ¿Cómo pueden priorizar el partido sobre la salud pública? ¡Es una irresponsabilidad!  https://t.co/MqhLH8qOh3","neutral","negative","negative"
"1344261533862391810","ciudadanos","🍊 Con #PolíticaÚtil hemos demostrado que Cs es el único partido de centro.  📡 @CarrizosaCarlos ""Nuestra divisa es la defensa del centro, la sensatez y la moderación"" #ActualidadCs   ✅ Seguiremos defendiendo el constitucionalismo en Cataluña.  https://t.co/paTUxxeEWD","positive","neutral","positive"
"1344198193106530305","ciudadanos","👋#BuenosDías.   🍊Desde Cs estamos orgullosos del trabajo realizado.   ✅Frenamos una subida de impuestos. ✅Apoyamos presupuestos en varias CCAA. ✅Mejoramos la ley de eutanasia. ✅Y mucho más...  👉En 2021 seguiremos con más #PolíticaÚtil.  📻@BalEdmundo en @LasMananas_RNE  https://t.co/vvRbulg17F","positive","neutral","positive"
"1343931566993645571","ciudadanos","👉 Mientras que en Madrid se ayuda a hosteleros y comerciantes, en Cataluña se les da la espalda.   🛑¡Basta ya de dejación por parte del Govern!  📡 @Carrizosacarlos ""Madrid es el claro ejemplo de que hay otra forma de tratar a los sectores productivos” #ActualidadCs  https://t.co/ZUYa9EPtCT","positive","negative","negative"
"1343930618451783680","ciudadanos","✅Hay que apostar por la hostelería y el comercio, porque significa apostar por el empleo.   👉 En Madrid se han bajado los impuestos, por lo que es posible hacerlo también en Barcelona.   📡@Begonavillacis ""Pedimos al Gobierno de España que apruebe ayudas directas"" #ActualidadCs  https://t.co/UiyESgYtI3","negative","neutral","positive"
"1343929883387428867","ciudadanos","✅ En el Ayto. de @MADRID hemos demostrado generosidad con los Pactos de la Villa y los Presupuestos.   👉 Nuestra prioridad han sido los madrileños.  📡@begonavillacis ""Nuestras pymes y autónomos sufren y cuentan con nuestro apoyo para resistir"" #ActualidadCs  https://t.co/t9WrGCTtGG","positive","neutral","positive"
"1343929166341808129","ciudadanos","🔙 Barcelona siempre ha sido un ejemplo de ciudad cosmopolita.   👎 Pero el tripartito lo ha echado todo por tierra con delirios separatistas.  🍊 @Begonavillacis ""Madrid y Barcelona no tienen que competir, pueden ser perfectas aliadas en el mundo global"" #ActualidadCs  https://t.co/UH84LNvAKi","positive","neutral","negative"
"1343927304372838401","ciudadanos","🍊 @Carrizosacarlos, @Begonavillacis y @MLuzGuilarte se han reunido hoy con el Gremio de Restauradores y el de Hosteleros y han visitado el Ayuntamiento de Barcelona.    📡 Después han ofrecido una rueda de prensa, ¡te dejamos un resumen!  https://t.co/vFazJdbVt5","positive","neutral","neutral"
"1343892324368179202","ciudadanos","🍊 Es posible dar carpetazo al procés si el constitucionalismo sale a votar el próximo #14F  📡 @InesArrimadas ""Tenemos el mejor equipo para gobernar en Cataluña pensando en todos los catalanes"" #ActualidadCs  👉Es momento de iniciar una nueva etapa de prosperidad y convivencia.  https://t.co/M1Mz2FsKL3","positive","neutral","positive"
"1343890442065235969","ciudadanos","📡 @InesArrimadas ""La oposición no es una sala de espera en la que se está hasta que se llega a gobernar"" #ActualidadCs  🍊 Cs va a apoyar los presupuestos de CCAA y ciudades importantes de España.  ✅ Hemos demostrado estar a la altura de las circunstancias.  https://t.co/xyNs7dpPHL","positive","neutral","positive"
"1343889937880543234","ciudadanos","📡 @InesArrimadas ""Hemos hecho una labor de oposición responsable"" #ActualidadCs   ✅ Ofrecimos una alternativa moderada y frenamos  subidas de impuestos a la clase media  ❌ Pero el Gobierno eligió la radicalidad del separatismo.  https://t.co/rUse8JgOZd","positive","neutral","negative"
"1343889121362792450","ciudadanos","😷 ¡Ya hemos empezado la campaña de vacunación!  📡 @InesArrimadas ""Estamos ante una gran noticia, un gran avance de la ciencia y de coordinación de la Unión Europea"" #ActualidadCs  👉 Pero debemos seguir con prudencia porque aún queda para acabar con esta pesadilla.  https://t.co/G8TLwhBCKN","negative","neutral","positive"
"1343888080294600706","ciudadanos","👉 Hoy tradicionalmente se hace un repaso de la labor del Gobierno.  ‼️ Pero este año, la valoración la harán los españoles y no los expertos elegidos a dedo por Sánchez  📡 @InesArrimadas ""Ha faltado liderazgo a nivel nacional para dirigir esta pandemia"" #ActualidadCs  https://t.co/FYTSk445VR","negative","neutral","negative"
"1343885754565611520","ciudadanos","🍊 Esta mañana se ha reunido el Comité Permanente de Cs.   📡 Tras la reunión, @InesArrimadas ofrece una rueda de prensa para valorar la #ActualidadCs   🔛 ¡No te lo pierdas #EnDirecto!  https://t.co/N5MrAUzxrt","positive","neutral","neutral"
"1343840430518054914","ciudadanos","👋#BuenosDías, Ciudadanos.  🧡¡Seguimos trabajando para que nadie se quede atrás!  🍊En los #PresupuestosMadrid2021 apostamos por unas cuentas sociales para afrontar la #COVID19.  👉942 millones de gasto social 👉280 millones para dependencia 👉19 millones en ayudas alimentación  https://t.co/ltZcmzl0Db","positive","neutral","positive"
"1343611735765381121","ciudadanos","❌ ¡Basta ya! La convivencia en Cataluña no se recupera dando privilegios a quienes quieren romperla.   ⚠ El PSOE demuestra con sus actos que solo piensa en un tripartito con el separatismo.   ✋ No lo permitiremos.  ▶  https://t.co/semT6cuJ5f  https://t.co/ryRPjPWng4","neutral","negative","negative"
"1343567380073635842","ciudadanos","🍊Desde Cs seguimos trabajando por la regeneración y la transparencia.  ✅La Oficina contra el Fraude y la Corrupción ya es una realidad en #Andalucía.  ❌No vamos a permitir que se repitan las corruptelas practicadas durante décadas de gobiernos socialistas.  #STOPCorrupción  https://t.co/5zzMdhwLnP","positive","negative","positive"
"1343531955858636802","ciudadanos","🍊 Desde Cs exigimos la comparecencia del ministro de Sanidad para conocer las medidas frente a la nueva cepa de la #COVID19  📡 @CarrizosaCarlos ""Pediremos todas las explicaciones que hagan falta para mantener informados a todos los ciudadanos sobre la vacunación"" #ActualidadCs  https://t.co/IDn40C3MhS","negative","neutral","neutral"
"1343530555053404160","ciudadanos","❗️Cataluña necesita dar carpetazo al procés.   📡 @CarrizosaCarlos ""Cs es la opción, la casa común del constitucionalismo"" #ActualidadCs   ✅ El próximo #14F es nuestra oportunidad para gobernar para todos los catalanes.  https://t.co/0AEEIV7rOD","positive","neutral","positive"
"1343522978584276992","ciudadanos","🍊 @CarrizosaCarlos se ha reunido hoy con comerciantes, hosteleros y autónomos de Lleida.  📡 Acompáñanos #EnDirecto.   🔛 ¡No te pierdas la #ActualidadCs!  https://t.co/enYNHlOXhj","positive","neutral","neutral"
