"id","political_party","tweet","nrc_lexicon","robertuito_transformer","gemini_llm"
"1344699053259558917","ciudadanos","No podíamos decir #Adiós2020 sin volver a agradecer el esfuerzo y la valentía de todos aquellos que nos han protegido frente a la pandemia.    ❤️💛❤️¡Millones de #GraciasHéroes!","positive","positive","positive"
"1344634410901991425","ciudadanos","📡 @CsarZafra ""El mejor deseo para todos es poder volver a nuestras vidas lo antes posible sin olvidar a todos aquellos que no siguen con nosotros"" #ActualidadCs    🍊 Nuestro compromiso para el próximo año es seguir haciendo #PolíticaÚtil por los ciudadanos.  https://t.co/6FZdsdD20p","neutral","neutral","neutral"
"1344633404080328710","ciudadanos","🙁 2020 ha sido un año horrible en el que hemos perdido a demasiada gente y muchos empleos.   📡 @CsarZafra ""Las asociaciones en los barrios están haciendo un trabajo enorme para que nadie quede atrás"" #ActualidadCs  💪Ese es el ejemplo de lo que tenemos que seguir haciendo.  https://t.co/kNWfGJHq0P","negative","negative","negative"
"1344614102690390018","ciudadanos","🍊 Hoy dejamos atrás un año difícil y @Carrizosacarlos ha querido dejar un mensaje de Fin de Año para los catalanes:   “Quiero transmitir un mensaje de optimismo y esperanza. El futuro no está escrito, otra Cataluña es posible"".     https://t.co/RdNnXtRzfU","positive","positive","positive"
"1344565616435490818","ciudadanos","🚨 Es increíble que tengamos a un ministro de Sanidad a tiempo parcial en mitad de una pandemia.   📺 @Carrizosacarlos ""El PSOE ha priorizado su interés partidista a la salud de los españoles"" en el @elprogramadear   ❗️ ¡Es una irresponsabilidad!  https://t.co/S44yHOob6x","negative","negative","negative"
"1344380121726267398","ciudadanos","⚠️ Es una irresponsabilidad que el PSOE priorice el partido sobre la salud de los españoles.   👉 El señor Illa ya ha demostrado que solo se reencuentra con ERC y con Podemos.  📻 @carrizosacarlos ""Nosotros aspiramos a repetir el aglutinamiento de votos de 2017"" en @radio5_rne  https://t.co/l9bphYtQnY","negative","negative","negative"
"1344347523792719874","ciudadanos","🚨 Mientras España atraviesa la peor crisis sanitaria y económica...  🤦‍♂️ El presidente del Gobierno y el ministro de Sanidad piensan en candidaturas.   ⁉¿Importa más el partido que la salud de los ciudadanos?  https://t.co/d2wTls1M8S","negative","negative","negative"
"1344259837509722113","ciudadanos","📡 @Carrizosacarlos ofrece una rueda prensa para comentar la actualidad.   ➡️ ¡Te lo contamos! #ActualidadCs   🔛 #EnDirecto aquí  https://t.co/JNxGjSgDZp  https://t.co/lWvLfyX9ZA","neutral","neutral","neutral"
"1344003755268698112","ciudadanos","👎La gestión del Gobierno ha sido nefasta:  ❌Uso partidista de la pandemia.  ❌No ayuda a autónomos y pymes.  ❌Plantea indultos a cambio de apoyos.  ❌Mercadea con el CGPJ.    📻 @MelisaRguezH ""Cs, en cambio, ha demostrado estar a la altura de los españoles"" en @CAPITALRADIOB  https://t.co/N1DEL7Sl9X","negative","negative","negative"
"1343967517585399809","ciudadanos","❗Termina el año y los reclamos de los españoles siguen pendientes.   ❌ Menos indultos para quienes intentan romper España.  ✅ Más ayudas directas para las familias.   🚫 Basta ya de concesiones al separatismo.  https://t.co/LG1euc913N","negative","negative","negative"
"1343932920352935936","ciudadanos","❌ La permisividad de la señora Colau ante la okupación ilegal es intolerable.   📡 @Carrizosacarlos ""Si Cs gobierna en Cataluña se impulsará una ley #STOPOkupas que proteja a los propietarios y a las comunidades ante esta injusticia” #ActualidadCs  https://t.co/eBStTL6a19","negative","negative","negative"
"1343932260152717313","ciudadanos","⚠️ @Carrizosacarlos ""Barcelona es un ensayo catastrófico del tripartito que pretenden poner en marcha ERC, PSC y Comuns en Cataluña"" #ActualidadCs    👉 Mientras Madrid atrae a nuevas empresas, Barcelona las pierde.   ❗️ ¡Hay que revertir esa situación!  https://t.co/BRN8zUTCDB","negative","negative","negative"
"1343928611544461409","ciudadanos","⚠️Barcelona es un campo de pruebas del tripartito que quieren llevar a cabo ERC, Socialistas y Comunes en Cataluña.   🍊 @MLuzGuilarte ""Con su mala gestión han degradado a Barcelona y han empobrecido a los barceloneses"" #ActualidadCs  https://t.co/kQd7J8pK6G","negative","negative","negative"
"1343892841232277505","ciudadanos","📡 @InesArrimadas ""Es indignante que el Gobierno piense más en sus socios que en el sufrimiento de los españoles"" #ActualidadCs   🤦‍♂️ España necesita menos indultos...  👉 Y más ayudas directas a nuestras pymes y autónomos.  https://t.co/Jm4vQvhru1","negative","negative","negative"
"1343891208968560640","ciudadanos","🚨 Las próximas semanas van a estar marcadas por una tercera ola de #COVID19 a pesar de la vacunación.   📡 @InesArrimadas ""Le pido al Gobierno de España que trabaje más por los ciudadanos y menos por sus intereses"" #ActualidadCs   🇪🇸 Es lo que se merecen los españoles.  https://t.co/XPSNXYtClF","negative","negative","negative"
"1343887589263233024","ciudadanos","⚫️Hemos perdido a más de 70.000 españoles por la pandemia.    📡@InesArrimadas ""Quiero acordarme de ellos y de los que sufren las consecuencias económicas de esta crisis "" #ActualidadCs  🧡Gracias a todos los sanitarios y trabajadores esenciales que han estado en primera línea.  https://t.co/Fc63kExdtj","negative","negative","negative"
"1343860007524302849","ciudadanos","⚠ Mientras los comerciantes catalanes sufren la crisis, las juventudes de ERC los atacan con campañas infames y racistas.   🛑 ¡Desde Cs no lo consentiremos!   🧡 Por ello hacemos una llamada a la solidaridad de los catalanes: cuando compres, piensa en TODOS.  https://t.co/4VmdttTHe5","negative","negative","negative"
"1343641370809016324","ciudadanos","👉Mientras los hosteleros y comerciantes catalanes sufren... ⚠Los separatistas radicales les atacan con campañas llenas de odio.  ⚠Y el Govern sigue sin ofrecerles ningún tipo de apoyo.  📽 Hoy @carrizosacarlos les ha mostrado el apoyo de @CiutadansCs, ¡dale al play!  https://t.co/Dnuzq7Iszz","negative","negative","negative"
"1343531550768574465","ciudadanos","👉 Desde @CiutadansCs sabemos que el plan oculto del PSC es gobernar con ERC.   📡 @CarrizosaCarlos ""Exigimos que el señor Iceta se pronuncie"" #ActualidadCs  ⁉️ ¿Hasta cuándo el PSOE seguirá haciendo concesiones a quienes quieren romper España?  https://t.co/N2JqN72sPM","negative","negative","negative"
"1343531109246754818","ciudadanos","👉Los hosteleros están soportando lo insoportable para no cerrar.   📡 @CarrizosaCarlos ""Las franjas horarias y las restricciones impuestas por la Generalitat les perjudican"" #ActualidadCs  ‼️ ¡Basta ya de improvisación! Hacen falta ayudas directas por parte del Govern.  https://t.co/92VXws3Sfe","negative","negative","negative"
"1343529237404377088","ciudadanos","⚠️ Los hosteleros y comerciantes de Lleida están sufriendo una nueva campaña por parte de las juventudes de ERC  📡 @CarrizosaCarlos ""Han puesto pancartas para que no compren a quienes hablan español"" #ActualidadCs  ❌¡No permitiremos que sigan fomentando el odio entre catalanes!  https://t.co/2rcpbIlc0i","negative","negative","negative"
"1343479592548499458","ciudadanos","⚠️ ¡Podemos ha desconectado de la calle!   🎄 Estas Navidades se ha hablado de salud y de trabajo, que es lo que realmente preocupa a los españoles.  ❌ Pero ellos insisten en atacar nuestras instituciones.  📺 ¡Así de claro lo explica @begonavillacis! #LaHoraVillacís  https://t.co/JptaJskqIO","negative","negative","negative"
"1343476985587236864","ciudadanos","🚨 El Gobierno de España ha dejado abandonados a la hostelería y al comercio en su peor momento.   📺 @Begonavillacis ""Por eso desde el Ayto. de @MADRID nos hemos esforzado por sacar adelante unos Presupuestos buenos para estos sectores"" #LaHoraVillacís  https://t.co/aGHsU7h3PF","negative","negative","negative"
"1343472144467054593","ciudadanos","❌ Sánchez no puede estar sólo para lo bueno, también tiene que estar en lo malo.   👎 España no se podía permitir 17 planes diferentes para Navidades.   📺 @begonavillacis ""Esto demuestra que el Gobierno de España no ha aprendido nada de los errores"" #LaHoraVillacís  https://t.co/vTSTKFu66G","negative","negative","negative"
"1343468934968840193","ciudadanos","⛅️ ¡Buenos días y #FelizLunes!   📺 Comienza la mañana con @begonavillacis en @LaHoraTVE   ⏰ En unos minutos estará comentando la actualidad, ¡no te lo pierdas! ➡️  https://t.co/1ZGtlrA5ZD  https://t.co/6e8dPVKmCm","neutral","neutral","neutral"
