"id","political_party","tweet","nrc_lexicon","robertuito_transformer","gemini_llm"
"1335270210018938880","ciudadanos","🤥 Sánchez mintió sobre el comité de expertos.  🤦‍♂️ Mintió sobre la derrota del virus.  🤯 Y ahora Transparencia confirma que también mintió sobre el informe de la Universidad Johns Hopkins...   ⁉ ¿Cuántas mentiras más?  https://t.co/G2rbLTD7Qw","negative","negative",NA
"1335238751048650755","ciudadanos","⚠ Espían a nuestros hijos en Cataluña y ahora quieren hacer lo mismo en Baleares.   ❌ Basta ya de imponer el modelo separatista en la educación.   🍊 Defenderemos el #EspañolEnTodaEspaña  🗞  https://t.co/EgiokkfqYW  https://t.co/4M3NhwayH9","neutral","negative",NA
"1335193453379153921","ciudadanos","⛔ En España nunca más se volverá a esterilizar a una niña o una mujer en contra de su voluntad.   🍊Gracias a la ley #STOPEsterilizaciónForzosa impulsada por Cs hemos acabado con esta práctica aberrante.   👉 Seguimos trabajando por la igualdad de las personas con discapacidad.  https://t.co/t9CoQ3QUr4","negative","negative",NA
"1335145639777329154","ciudadanos","👋 #BuenosDías.   🍊 Desde Cs estamos orgullosos de lo que hemos conseguido en el camino de los presupuestos.   ✅ Además de frenar una subida de impuestos a las familias y dejar a Sánchez en evidencia...  💪 Hemos conseguido la #TarjetaSanitariaÚnica  https://t.co/SarnZZRiHE","positive","neutral",NA
"1334914114179780608","ciudadanos","En el día en que el Supremo revoca el tercer grado a los presos del 'procés'...  📽 @CarrizosaCarlos da esta lección a la izquierda que pacta con separatistas:  👉 Llamen por su nombre a lo que piden para los condenados: privilegios.  ⚖ Respeten de una vez a los jueces.  https://t.co/P6Dn5hK6hV","positive","negative",NA
"1334883157141667840","ciudadanos","🙋‍♂️ ¿Tienes entre 18 y 35 años y eres afiliado o simpatizante de Cs?  🏆 ¡Apúntate al #TorneoDeOratoriaCs!  🗓️ Rellena este formulario para inscribirte antes del 13 de diciembre 👉  https://t.co/xP0hsdXw0e  📽️ ¡Descubre todos los detalles en este vídeo! 👇  https://t.co/wzhEiiCwU4","positive","neutral",NA
"1334854804405882880","ciudadanos","El día de la Constitución española, los socios de Sánchez pretenden pisotearla con un acto por una 'república vasca'.  🇪🇸La España de iguales, de la que Euskadi forma parte, es más fuerte que sus ataques.  ❌ El PSOE los podrá llamar 'patriotas', pero no engañan a nadie...  https://t.co/JkfWYZIt2P","neutral","negative",NA
"1334832389961502723","ciudadanos","🍊 @InesArrimadas ""Nuestro objetivo es que Cataluña vuelva a ser una tierra próspera"" #ActualidadCs  🗳💪 El 14 de febrero queremos abrir una nueva etapa de futuro.  ✅ Vamos a dar carpetazo al 'procés'.  https://t.co/wQPlcS6Yk9","positive","neutral",NA
"1334832090463023104","ciudadanos","🤯 En medio de una gran crisis, ERC negoció los presupuestos pensando en el 'procés' y en los privilegios.  🍊 @InesArrimadas ""Ya basta de que la Generalitat piense más en Junqueras que en los comerciantes afectados por la pandemia"" #ActualidadCs  https://t.co/s7K95ANlJr","negative","negative",NA
"1334831210489667585","ciudadanos","❌ La Generalitat de Cataluña desprecia a autónomos y pymes.  😓 Crearon una supuesta web de ayudas que era una auténtica chapuza.  🍊 @InesArrimadas ""Proponemos dar ayudas de hasta 4.000 euros, como se hace en otras CCAA"" #ActualidadCs  https://t.co/DCbI8YxR3w","neutral","negative",NA
"1334830500834390016","ciudadanos","🚨 Nou Barris es uno de los distritos más abandonados por el Ayuntamiento de Barcelona.  ⛔️ Los comerciantes han tenido que cerrar y no les han dado ayudas.  🍊 @InesArrimadas ""Presentamos hoy un plan de contingencia para autónomos y pymes"" #ActualidadCs  https://t.co/XaUb3fNqtg","neutral","negative",NA
"1334828539489751041","ciudadanos","🍊 @InesArrimadas se encuentra hoy de visita en Nou Barris junto al equipo de @CiutadansCs.  ✅💪 Trabajamos para dar carpetazo al 'procés' y abrir una nueva etapa en Cataluña.  📡 No te pierdas #EnDirecto su intervención.  https://t.co/B3qiNNYrgg","positive","neutral",NA
"1334807627474350080","ciudadanos","📚 Con la 'Ley Celaá', en Andalucía deberán conocer el catalán...  📺 @CarrizosaCarlos ""Y el idioma que toda España habla no se podrá hablar en Cataluña"" en @elprogramadear  🍊 ¡Basta ya! Defenderemos el #EspañolEnTodaEspaña  https://t.co/qpMqtHgF47","positive","negative",NA
"1334806393073889281","ciudadanos","👉 En 2017 demostramos que la mayoría de los catalanes no son independentistas.  📺 @CarrizosaCarlos ""Somos rehenes de una ley electoral injusta que le da la mayoría a los secesionistas cuando no la tienen"" en @elprogramadear  https://t.co/FdcFgDfZTF","positive","negative",NA
"1334804745920405506","ciudadanos","❗️El Supremo revoca el tercer grado a los presos del 'procés' porque es un tratamiento penitenciario privilegiado.  📺 @CarrizosaCarlos ""Lo de estos señores es un agravio para los presos en Cataluña que no tienen de amiguita a la consellera de Justicia"" en @elprogramadear  https://t.co/PGPtxVuYBx","positive","negative",NA
"1334803631019855873","ciudadanos","🤦‍♂️Es lamentable que el PSOE haya optado por la vía radical.  📺@CarrizosaCarlos ""Hablan de reconstruir. ¿Reconstruir qué con quienes quieren destruir España?"" en @elprogramadear  ❌ Jamás podrán decir que no tuvieron una opción moderada con Cs para ayudar a las familias.  https://t.co/vapBq2yl88","negative","negative",NA
"1334803256141361152","ciudadanos","⁉️ ¿Te perdiste la participación de @CarrizosaCarlos en el debate de @elprogramadear?  😉 ¡Descuida!  📽 A continuación te resumimos lo mejor.  https://t.co/JN3hQ0CQed","positive","neutral",NA
"1334785834852233221","ciudadanos","👋 #BuenosDías.   🍊 Llegamos al viernes orgullosos del trabajo realizado en los presupuestos.   ✅ Hemos frenado una subida de impuestos a las familias ✅ Hemos conseguido la #TarjetaSanitariaÚnica  ✅ Hemos dejado a Sánchez en evidencia   📻 @BalEdmundo en @esRadio  https://t.co/cew6bLzN57","positive","neutral",NA
"1334581167253762048","ciudadanos","🤔 ¿Los que quieren romper nuestro país apoyarían unos Presupuestos buenos para los españoles?   ❌ Está muy claro que no.  🤦‍♀️ Sánchez pudo haber seguido la vía moderada de Cs, pero prefirió la radicalidad de Bildu y ERC.  🏛 @InesArrimadas hoy en #Pleno  https://t.co/jTc0IMwrzv","negative","negative",NA
"1334558413657939969","ciudadanos","🏅 Hoy entregamos a Rafa Nadal la Gran Cruz de la Orden del Dos de Mayo.  🎾 Además de ser un gran ejemplo en la pista, ha logrado que los ciudadanos creamos que imposible es solo una opinión.  👏 ¡Grande, @RafaelNadal!   https://t.co/a9zWrkUCJn","neutral","positive",NA
